k = 001, n = 0, sim = 99.99%: [ ]
k = 003, n = 0, sim = 80.10%: [ ]
k = 005, n = 1, sim = 86.58%: [ 0 ]
k = 007, n = 2, sim = 95.24%: [ 0, 0 ]
k = 419, n = 10, sim = 97.01%: [ 10, 13, 16, 18, 20, 22, 23, 25, 27, 28 ]
k = 421, n = 10, sim = 97.02%: [ 10, 13, 16, 18, 20, 22, 24, 26, 27, 28 ]
k = 423, n = 10, sim = 97.04%: [ 10, 13, 16, 18, 20, 22, 24, 26, 27, 28 ]
k = 425, n = 10, sim = 97.01%: [ 10, 13, 16, 18, 20, 22, 24, 26, 27, 28 ]
k = 427, n = 10, sim = 97.09%: [ 11, 14, 16, 18, 20, 22, 24, 26, 28, 29 ]
k = 429, n = 10, sim = 97.14%: [ 11, 14, 16, 18, 20, 22, 24, 26, 28, 29 ]
k = 431, n = 10, sim = 97.15%: [ 11, 14, 16, 18, 20, 22, 24, 26, 28, 29 ]
k = 433, n = 10, sim = 97.11%: [ 11, 14, 16, 18, 20, 22, 24, 26, 28, 29 ]
k = 435, n = 10, sim = 97.01%: [ 11, 14, 16, 19, 20, 22, 24, 26, 28, 29 ]
k = 437, n = 10, sim = 96.97%: [ 11, 14, 17, 19, 21, 23, 25, 27, 28, 29 ]
k = 439, n = 10, sim = 97.05%: [ 11, 14, 17, 19, 21, 23, 25, 27, 28, 29 ]
k = 441, n = 10, sim = 97.09%: [ 11, 14, 17, 19, 21, 23, 25, 27, 28, 29 ]
k = 443, n = 10, sim = 97.08%: [ 11, 14, 17, 19, 21, 23, 25, 27, 28, 29 ]
k = 445, n = 10, sim = 97.02%: [ 11, 14, 17, 19, 21, 23, 25, 27, 28, 29 ]
k = 447, n = 10, sim = 96.91%: [ 11, 14, 17, 19, 21, 23, 25, 27, 28, 29 ]
k = 449, n = 10, sim = 96.83%: [ 11, 14, 17, 20, 22, 23, 25, 27, 29, 30 ]
k = 451, n = 10, sim = 96.85%: [ 11, 15, 17, 20, 22, 23, 25, 27, 29, 30 ]
k = 453, n = 10, sim = 96.85%: [ 11, 15, 17, 20, 22, 23, 25, 27, 29, 30 ]
k = 455, n = 10, sim = 96.82%: [ 11, 15, 17, 20, 22, 23, 25, 27, 29, 30 ]
k = 457, n = 10, sim = 96.74%: [ 11, 15, 17, 20, 22, 23, 25, 27, 29, 30 ]
k = 459, n = 10, sim = 96.71%: [ 12, 15, 17, 20, 22, 24, 26, 28, 30, 31 ]
k = 461, n = 10, sim = 96.77%: [ 12, 15, 17, 20, 22, 24, 26, 28, 30, 31 ]
k = 463, n = 10, sim = 96.79%: [ 12, 15, 17, 20, 22, 24, 26, 28, 30, 31 ]
k = 465, n = 10, sim = 96.81%: [ 13, 15, 18, 20, 22, 24, 26, 28, 30, 31 ]
k = 467, n = 10, sim = 96.80%: [ 13, 15, 18, 20, 22, 24, 26, 28, 30, 31 ]
k = 469, n = 10, sim = 96.76%: [ 13, 15, 18, 20, 22, 24, 26, 28, 30, 31 ]
k = 471, n = 10, sim = 96.69%: [ 13, 15, 18, 20, 22, 24, 26, 28, 30, 31 ]
k = 473, n = 10, sim = 96.57%: [ 13, 15, 18, 20, 22, 24, 26, 28, 30, 31 ]
k = 475, n = 10, sim = 96.51%: [ 13, 15, 19, 21, 23, 25, 27, 28, 30, 31 ]
k = 477, n = 10, sim = 96.50%: [ 13, 15, 19, 21, 23, 25, 27, 28, 30, 31 ]
k = 479, n = 10, sim = 96.46%: [ 13, 15, 19, 21, 23, 25, 27, 28, 30, 31 ]
k = 481, n = 10, sim = 96.45%: [ 13, 15, 19, 21, 23, 25, 27, 29, 31, 32 ]
k = 483, n = 10, sim = 96.45%: [ 13, 15, 19, 21, 23, 25, 27, 29, 31, 32 ]
k = 485, n = 10, sim = 96.46%: [ 13, 16, 20, 22, 24, 26, 27, 29, 31, 32 ]
k = 487, n = 10, sim = 96.53%: [ 13, 16, 20, 22, 24, 26, 27, 29, 31, 32 ]
k = 489, n = 10, sim = 96.59%: [ 13, 16, 20, 22, 24, 26, 27, 29, 31, 32 ]
k = 491, n = 10, sim = 96.61%: [ 13, 16, 20, 22, 24, 26, 27, 29, 31, 32 ]
k = 493, n = 10, sim = 96.61%: [ 13, 16, 20, 22, 24, 26, 27, 29, 31, 32 ]
k = 495, n = 10, sim = 96.58%: [ 13, 16, 20, 22, 24, 26, 27, 29, 31, 32 ]
k = 497, n = 10, sim = 96.52%: [ 13, 16, 20, 22, 24, 26, 27, 29, 31, 32 ]
k = 499, n = 10, sim = 96.41%: [ 13, 16, 20, 22, 24, 26, 27, 29, 31, 32 ]
k = 501, n = 10, sim = 96.33%: [ 14, 16, 20, 22, 24, 26, 28, 30, 32, 33 ]
k = 503, n = 10, sim = 96.32%: [ 14, 16, 20, 22, 24, 26, 28, 30, 32, 33 ]
k = 505, n = 10, sim = 96.29%: [ 14, 17, 20, 22, 24, 26, 28, 30, 32, 33 ]
k = 507, n = 10, sim = 96.25%: [ 14, 17, 20, 22, 24, 26, 28, 30, 32, 33 ]
k = 509, n = 10, sim = 96.18%: [ 14, 17, 20, 22, 24, 26, 28, 30, 32, 33 ]
k = 511, n = 10, sim = 96.21%: [ 14, 17, 20, 23, 25, 27, 29, 31, 33, 34 ]
k = 513, n = 10, sim = 96.27%: [ 14, 17, 20, 23, 25, 27, 29, 31, 33, 34 ]
